"","date","name","value","id"
"366",2022-04-30,"ngz",1812.4,"2"
"367",2022-05-31,"ngz",871.4,"2"
"368",2022-06-30,"ngz",717.8,"2"
"369",2022-07-31,"ngz",774.4,"2"
"370",2022-08-31,"ngz",668.1,"2"
"371",2022-09-30,"ngz",688.2,"2"
"372",2022-10-31,"ngz",1281.7,"2"
"373",2022-11-30,"ngz",866.4,"2"
"374",2022-12-31,"ngz",931.5,"2"
"375",2023-01-31,"ngz",425.52,"2"
"376",2023-02-28,"ngz",521.25,"2"
"377",2023-03-31,"ngz",688.11,"2"
"378",2023-04-30,"ngz",647.46,"2"
"379",2023-05-31,"ngz",570.71,"2"
"380",2023-06-30,"ngz",528.57,"2"
"381",2023-07-31,"ngz",811.3,"2"
"382",2023-08-31,"ngz",642.7,"2"
"383",2023-09-30,"ngz",739.86,"2"
"384",2023-10-31,"ngz",1634.62,"2"
"385",2023-11-30,"ngz",1016.1,"2"
"386",2023-12-31,"ngz",596.1,"2"
"387",2007-12-31,"vnt",170.02,"3"
"388",2008-01-31,"vnt",216.78,"3"
"389",2008-02-29,"vnt",11.63,"3"
"390",2008-03-31,"vnt",63.04,"3"
"391",2008-04-30,"vnt",487.24,"3"
"392",2008-05-31,"vnt",51.8,"3"
"393",2008-06-30,"vnt",30.24,"3"
"394",2008-07-31,"vnt",540.99,"3"
"395",2008-08-31,"vnt",43.36,"3"
"396",2008-09-30,"vnt",50.78,"3"
"397",2008-10-31,"vnt",254.53,"3"
"398",2008-11-30,"vnt",58.83,"3"
"399",2008-12-31,"vnt",75.54,"3"
"400",2009-01-31,"vnt",183.19,"3"
"401",2009-02-28,"vnt",107.2,"3"
"402",2009-03-31,"vnt",149.57,"3"
"403",2009-04-30,"vnt",105.66,"3"
"404",2009-05-31,"vnt",76.71,"3"
"405",2009-06-30,"vnt",85.92,"3"
"406",2009-07-31,"vnt",136.76,"3"
"407",2009-08-31,"vnt",114.5,"3"
"408",2009-09-30,"vnt",132.64,"3"
"409",2009-10-31,"vnt",137.47,"3"
"410",2009-11-30,"vnt",98.88,"3"
"411",2009-12-31,"vnt",125.25,"3"
"412",2010-01-31,"vnt",197.53,"3"
"413",2010-02-28,"vnt",115.8,"3"
"414",2010-03-31,"vnt",166.58,"3"
"415",2010-04-30,"vnt",132.14,"3"
"416",2010-05-31,"vnt",84.43,"3"
"417",2010-06-30,"vnt",122.06,"3"
"418",2010-07-31,"vnt",143.57,"3"
"419",2010-08-31,"vnt",107.85,"3"
"420",2010-09-30,"vnt",176.59,"3"
"421",2010-10-31,"vnt",174.88,"3"
"422",2010-11-30,"vnt",96.37,"3"
"423",2010-12-31,"vnt",179.86,"3"
"424",2011-01-31,"vnt",212.1,"3"
"425",2011-02-28,"vnt",117,"3"
"426",2011-03-31,"vnt",216,"3"
"427",2011-04-30,"vnt",230.1,"3"
"428",2011-05-31,"vnt",150.8,"3"
"429",2011-06-30,"vnt",229.9,"3"
"430",2011-07-31,"vnt",205.7,"3"
"431",2011-08-31,"vnt",176.6,"3"
"432",2011-09-30,"vnt",234.3,"3"
"433",2011-10-31,"vnt",192.5,"3"
"434",2011-11-30,"vnt",105.8,"3"
"435",2011-12-31,"vnt",256.9,"3"
"436",2012-01-31,"vnt",214.5,"3"
"437",2012-02-29,"vnt",100.2,"3"
"438",2012-03-31,"vnt",287,"3"
