rown,date,res,m2,exp,impt,usd,urru,sal,imo,bci,rate,cpi,ibk,epu,cons,news
69,2013-08-31,15325.7873109298,28499.9,1399.82112376781,936.020393875827,33.0154278112175,3822.19607770465,29226,1364.65,9208.07,8.25,100.14,1.89190202115503,207.55934,101.815507236148,-0.325892886
70,2013-09-30,15643.6829890781,28352.6,1457.6750885797,936.174899642501,32.6284295149345,3491.24195809799,29346,1462.82,9923.83,8.25,100.21,-0.25588013820547,214.21663,101.501041436407,-0.276967775
71,2013-10-31,15397.4406632935,28276.4,1391.18093782258,982.643774657446,32.0622479332239,3413.98815992968,30069,1510.21,10278.04,5.5,100.57,0.727696422849107,153.68826,101.148678340305,-0.077391898
72,2013-11-30,15504.6037248271,28873.3,1523.5001712,972.5865264,32.6448,3614.432256,30290,1479.35,10064.13,5.5,100.56,-7.71995936234964,77.41041,100.859505922822,0.059557212
73,2013-12-31,15447.1112430391,31155.6,1623.845204,1068.430014,32.894,3577.2225,39648,1504.08,10176.9,5.5,100.51,4.38661453719018,206.56078,100.726539425234,0.344164147999999
74,2014-01-31,15296.7796084005,29861.2,1322.521753,701.827489,33.457,3590.27067,29535,1454.45,9828.99,5.5,100.59,-24.3475723816577,255.24071,100.7377036582,0.201234529
75,2014-02-28,15806.1845501098,30169,1279.9940343,848.5037093,35.2237,3808.738681,29255,1444.71,9741,5.5,100.7,-2.59355700863657,162.45726,100.908799499355,-0.034415209
76,2014-03-31,16033.2694095523,29519.3,1699.889184,991.167492,36.211,3807.58665,31486,1369.29,9267.08,5.5,101.02,4.86389891318873,123.9876,101.272339660341,-0.190383869
77,2014-04-30,15262.209498547,29879,1694.7200596,989.7219354,35.6618,3840.062624,32947,1306.01,8790.54,7,100.9,1.66678376818584,254.08472,101.706452845651,-0.359713861
78,2014-05-31,14800.8723137761,29890.8,1534.8626205,913.6527771,34.9269,3730.542189,32272,1432.03,9626.25,7.5,100.9,-1.5324073707736,370.50622,102.054081234635,-0.435737348
79,2014-06-30,14862.0955752428,30073.1,1396.9039,920.2018425,34.4065,3759.94232,33726,1476.38,9938.21,7.5,100.62,0.751710943510517,143.52719,102.171604939168,0.044413829
80,2014-07-31,14638.5911410587,30178.3,1599.626712,1009.7199856,34.6352,3638.081408,32515,1379.61,9256.28,7.5,100.49,3.57361937543016,153.22808,102.063951257663,0.078807754
81,2014-08-31,15138.6671145351,30338.7,1495.42230714431,912.787894622316,36.1099728863959,3624.35797860756,30763,1400.71,9364.82,8,100.24,-3.44603327200099,246.01304,101.670523441933,-0.329736366
82,2014-09-30,15497.0716423268,30297.6,1441.08654195949,986.008574473095,37.8695154769403,3511.2614750219,31929,1411.07,9479.29,8,100.65,0.0164783719113757,284.68491,100.876306850101,-0.761372088
83,2014-10-31,15622.1283044717,29831.2,1691.5758678,1091.7271365,40.7589,3396.031548,32439,1488.47,10041.34,8,100.82,-3.94255805542295,161.58383,99.808749233734,-0.595116797
84,2014-11-30,17137.7511588983,30141.9,1682.37030041671,1058.19491211293,45.8648973696659,3274.29502322045,32546,1533.68,10308.24,8,101.28,-13.2365276247794,315.32688,98.5699545151011,-1.001335008
85,2014-12-31,18805.5394212179,31615.7,2110.8512183,1355.2381867,55.4131,2960.167802,42136,1396.61,9298.92,9.5,102.62,1.27755769242802,321.74313,97.2422175889727,-0.974402101
86,2015-01-31,20184.5058834913,31033.8,1721.45703319315,750.010096250884,61.6987575066538,2938.09483246685,30929,1647.69,10948.57,17,103.85,-30.0023009945264,345.45509,96.0647962266809,-1.551464015
87,2015-02-28,20257.7950388489,31225,1900.25629198401,996.501871018312,64.6323693746473,3909.61202347242,31325,1758.97,11756.36,17,102.22,-10.3813907386249,298.55556,95.4099826018854,-1.756337226
88,2015-03-31,18617.9586554303,31028.9,1982.00879996913,1028.92187573538,60.2342744254407,3158.68535087011,32642,1626.18,10811.84,15,101.21,-2.97619675773848,239.86108,95.6088592525024,-1.972269835
89,2015-04-30,16268.7931725053,31718.6,1623.883621,854.898198,52.8694,3336.05914,34377,1688.34,11299.1,14,100.46,-5.24520377423383,222.46183,96.2544473051368,-1.53792343099999
90,2015-05-31,15624.1265565457,31842.2,1550.5007778,773.378903,50.5807,3154.212452,34380,1609.19,10736.97,14,100.35,-7.25704209264873,124.70786,96.8717575818418,-0.836182711
91,2015-06-30,17077.0293706561,31958,1639.7899824,884.0412558,54.4998,3284.157948,35395,1654.55,11096.41,12.5,100.19,-2.94399971835927,161.08894,97.1411303048602,-0.845598354
92,2015-07-31,17842.7606113515,32094.2,1559.1927706,956.6191499,57.0673,2958.368832,33901,1669,11150.73,11.5,100.8,-4.17708095683773,62.65725,97.1498525772962,-0.628935402
93,2015-08-31,20761.2037574188,32383.6,1631.002651,1057.539148,65.1515,3066.681105,32176,1733.17,11592.75,11.5,100.35,-7.20088624116349,180.08744,97.0262381314991,-0.761690482
94,2015-09-30,21523.6656123792,32074.4,1758.8220066,1123.7419122,66.7662,3067.239228,32911,1642.97,10906.2,11,100.57,-7.77183498875556,315.69951,96.8343575280303,-1.678045848
95,2015-10-31,20121.5926866551,32170.2,1700.4900528,1066.8739884,63.0652,2926.22528,33357,1711.53,11294.06,11,100.74,-8.65746014535091,174.17343,96.6011050728629,-1.167661566
96,2015-11-30,20615.0567268972,32754.2,1650.619984,1068.637284,65.026,2788.31488,33347,1771.05,11732.73,11,100.75,-15.0386749154937,155.72328,96.3149843636561,-1.21505909
97,2015-12-31,22279.8166971939,35179.7,1999.8078924,1219.4035515,69.6603,2449.256148,43408,1761.36,11637.91,11,100.77,-2.76124339413485,195.30061,95.9662656877272,-0.889527245
98,2016-01-31,24413.8064283189,33975.7,1307.6215394,750.6109064,76.2506,2416.381514,32660,1784.92,11874.94,11,100.96,-29.8692181044927,55.0955,95.6400116740644,-1.022556978
99,2016-02-29,24962.4328248516,34318.9,1554.772349,993.0929814,77.2174,2623.075078,33873,1840.17,12201.68,11,100.63,-7.97879024852617,190.36955,95.4786058548659,-1.672402188
